"depositor address","total deposited","total shares","total time","average time of deposit","portion of the pool","number of deposits","claimed","total rewards","unclaimed","USD value of deposit(s)","percent claimed"
"0xEaaAe6Ce489fF214bA52b607740cF80f595Ef6A0",8731.63,113511.22,"365 days","365 days","0.4598%",1,0,36.35934099537351,36.35934099537351,1494.4362820854167,"0.00%"
"0x92C9D6119247EE4E39b2E6769680afc56A0d2302",50,99.32,"30 days","30 days","0.0004%",1,0,0.03181210248366082,0.03181210248366082,8.5576,"0.00%"
"0x6A8867f2d49f2C3b54456C1d846117eF0C2b551b",6851.1,26897.59,"89 days","89 days","0.1090%",1,0,7.992985934063249,7.992985934063249,1172.5789635840656,"0.00%"
"0x55a176cb89890DE6eE487D4b6f986a0EB668f885",5600,72800,"365 days","365 days","0.2949%",1,0,19.950003420627784,19.950003420627784,958.4512,"0.00%"
"0xfd6d749bE68df61b1ce8E7B3d39611Cc084Fc21C",337,12469.14,"1095 days","1095 days","0.0505%",1,0,3.129558861203613,3.129558861203613,57.67888966699652,"0.00%"
"0xf9022E7d74cd05191e4814f1799dB638A0025862",589.8,7667.46,"365 days","365 days","0.0311%",1,0,1.394386607680248,1.394386607680248,100.9461901347368,"0.00%"
"0xd291cb238c4550818695475C4A0Db93f8244Eaf4",77492.08,153922.62,"30 days","30 days","0.6235%",1,0,24.446460789093578,24.446460789093578,13262.924193665012,"0.00%"
"0x4Db7c08da989ee5a09ec95e830073Cf24B261e2e",21.38,299.06,"395 days","395 days","0.0012%",1,0,0.02696438368252956,0.02696438368252956,3.6596918704,"0.00%"
"0xA537c634561b81c38382B81521737BC14e15823c",20146.59,745424.01,"1095 days","1095 days","3.0197%",1,0,33.08973716012859,33.08973716012859,3448.129990263419,"0.00%"
"",,,,,,,,,,,
"number of holders",60,,,,,,,,,,
"total staked","2333640.04",,,,,,,,,,
"all shares held","32277790.06",,,,,,,,,,
"total PERC claimed",127,,,,,,,,,,
"total PERC unclaimed",10284.189211969775,,,,,,,,,,
